date,actual,forecast
2018-09-18,0.0,1900.3849268857716
2018-09-19,0.0,2006.7193681332385
2018-09-20,0.0,410.39334887634897
2018-09-21,0.0,-2705.2898066849857
2018-09-22,0.0,-8875.713438102619
2018-09-23,0.0,-6693.709759499777
2018-09-24,0.0,2304.7683550823194
2018-09-25,0.0,1320.0354337718984
2018-09-26,0.0,743.4136454779152
2018-09-27,0.0,-1090.2857728200488
2018-09-28,0.0,-4395.663413725526
2018-09-29,0.0,-10877.494554753133
2018-09-30,0.0,-8590.333217986332
2018-10-01,0.0,849.4454357985969
2018-10-02,0.0,-277.0285412213552
2018-10-03,0.0,-887.2022436977005
2018-10-04,0.0,-2732.5603985146195
2018-10-05,0.0,-6047.25182191004
2018-10-06,0.0,-12544.370893927655
2018-10-07,0.0,-10252.047221264595
2018-10-08,0.0,-790.6042359532184
2018-10-09,0.0,-1924.036575431002
2018-10-10,0.0,-2535.857410955101
2018-10-11,0.0,-4381.787917226795
2018-10-12,0.0,-7696.936573329025
2018-10-13,0.0,-14194.806161206245
2018-10-14,0.0,-11902.22905890159
2018-10-15,0.0,-2439.722527177486
2018-10-16,0.0,-3573.496466922426
2018-10-17,0.0,-4185.398163581966
